symbol,open,high,low,close,volume,timestamp,latency_ms,source,tick_index,interval
NIFTY,20204.24806558196,20222.769401619425,20194.986969003498,20217.45895868768,3652,2026-01-15 10:50:36 IST,293,TradingView (REAL-TIME),15,2s
BANKNIFTY,23623.12765122405,23625.632940486455,23600.182924304652,23608.165016116593,5710,2026-01-15 10:50:36 IST,88,TradingView (REAL-TIME),16,2s
NIFTY,20217.45895868768,20276.696398903197,20210.53345347988,20267.086899644735,1691,2026-01-15 10:50:38 IST,64,TradingView (REAL-TIME),17,2s
BANKNIFTY,23608.165016116593,23610.672759822555,23575.47256310592,23582.294019448786,5417,2026-01-15 10:50:38 IST,354,TradingView (REAL-TIME),18,2s
NIFTY,20267.086899644735,20327.78072353881,20259.073565807175,20323.286679626483,5227,2026-01-15 10:50:40 IST,393,TradingView (REAL-TIME),19,2s
BANKNIFTY,23582.294019448786,23592.054563191195,23572.89198402153,23589.60558524205,6861,2026-01-15 10:50:40 IST,445,TradingView (REAL-TIME),20,2s
NIFTY,20323.286679626483,20342.86698059715,20321.77786111837,20338.82562850153,6905,2026-01-15 10:50:42 IST,102,TradingView (REAL-TIME),21,2s
BANKNIFTY,23589.60558524205,23633.447463127177,23582.27655941501,23627.329878011868,5770,2026-01-15 10:50:42 IST,311,TradingView (REAL-TIME),22,2s
NIFTY,20338.82562850153,20357.796393520905,20336.78290404802,20347.898187690473,6884,2026-01-15 10:50:44 IST,430,TradingView (REAL-TIME),23,2s
BANKNIFTY,23627.329878011868,23629.152602978775,23614.986858311247,23619.981267688654,1424,2026-01-15 10:50:44 IST,297,TradingView (REAL-TIME),24,2s
NIFTY,20347.898187690473,20374.54673079509,20338.923346616048,20368.910695718925,4919,2026-01-15 10:50:46 IST,466,TradingView (REAL-TIME),25,2s
BANKNIFTY,23619.981267688654,23643.987718810156,23619.363414820124,23641.339717424227,2093,2026-01-15 10:50:46 IST,411,TradingView (REAL-TIME),26,2s
NIFTY,20368.910695718925,20371.87524331586,20367.01520567421,20370.591510837785,1948,2026-01-15 10:50:48 IST,371,TradingView (REAL-TIME),27,2s
BANKNIFTY,23641.339717424227,23650.093575699102,23622.334265715934,23630.4626188809,4613,2026-01-15 10:50:48 IST,187,TradingView (REAL-TIME),28,2s
NIFTY,20370.591510837785,20406.41140790948,20365.606263467223,20401.998216792428,2555,2026-01-15 10:50:50 IST,422,TradingView (REAL-TIME),29,2s
BANKNIFTY,23630.4626188809,23697.986012682864,23627.422590961633,23690.895169378637,6440,2026-01-15 10:50:50 IST,233,TradingView (REAL-TIME),30,2s
NIFTY,20401.998216792428,20408.172044596085,20367.144740379157,20375.591763050088,5010,2026-01-15 10:50:52 IST,59,TradingView (REAL-TIME),31,2s
BANKNIFTY,23690.895169378637,23731.871739385122,23683.8586162827,23722.45932485206,9924,2026-01-15 10:50:53 IST,198,TradingView (REAL-TIME),32,2s
NIFTY,20375.591763050088,20398.598334533446,20372.578117679644,20392.30174616946,7386,2026-01-15 10:50:55 IST,103,TradingView (REAL-TIME),33,2s
BANKNIFTY,23722.45932485206,23798.55180885703,23721.43177983669,23792.63665147822,9384,2026-01-15 10:50:55 IST,129,TradingView (REAL-TIME),34,2s
NIFTY,20392.30174616946,20401.10078784942,20353.198011814296,20356.613727960408,9735,2026-01-15 10:50:57 IST,309,TradingView (REAL-TIME),35,2s
BANKNIFTY,23792.63665147822,23813.12792349212,23786.08577525599,23809.4549048169,3988,2026-01-15 10:50:57 IST,306,TradingView (REAL-TIME),36,2s
NIFTY,20356.613727960408,20360.985225258722,20306.487030564927,20311.086088970373,6545,2026-01-15 10:50:59 IST,440,TradingView (REAL-TIME),37,2s
BANKNIFTY,23809.4549048169,23811.271160919743,23746.209022531573,23754.789551008533,1668,2026-01-15 10:50:59 IST,324,TradingView (REAL-TIME),38,2s
NIFTY,20311.086088970373,20317.977317213532,20296.69527068389,20297.227164671847,6371,2026-01-15 10:51:01 IST,216,TradingView (REAL-TIME),39,2s
BANKNIFTY,23754.789551008533,23761.907340606624,23732.415564396564,23741.379006494113,5192,2026-01-15 10:51:01 IST,414,TradingView (REAL-TIME),40,2s
NIFTY,20297.227164671847,20301.357690524586,20238.39348517874,20239.91798822313,9098,2026-01-15 10:51:03 IST,467,TradingView (REAL-TIME),41,2s
BANKNIFTY,23741.379006494113,23750.45681489742,23686.703723897877,23692.35232309802,7086,2026-01-15 10:51:03 IST,378,TradingView (REAL-TIME),42,2s
NIFTY,20239.91798822313,20248.01656257551,20222.507049624237,20230.36104935965,7003,2026-01-15 10:51:05 IST,357,TradingView (REAL-TIME),43,2s
BANKNIFTY,23692.35232309802,23739.281143627402,23685.869609416346,23735.24745345494,5925,2026-01-15 10:51:05 IST,345,TradingView (REAL-TIME),44,2s
NIFTY,20230.36104935965,20231.241378269453,20174.34213476386,20176.753360633928,8463,2026-01-15 10:51:07 IST,281,TradingView (REAL-TIME),45,2s
BANKNIFTY,23735.24745345494,23737.390913663054,23692.020011653258,23698.096554984695,1618,2026-01-15 10:51:07 IST,78,TradingView (REAL-TIME),46,2s
NIFTY,20176.753360633928,20178.537202160747,20170.646686755736,20177.634589806352,1785,2026-01-15 10:51:09 IST,500,TradingView (REAL-TIME),47,2s
BANKNIFTY,23698.096554984695,23701.534952264385,23626.740945473382,23635.084172775427,2868,2026-01-15 10:51:09 IST,225,TradingView (REAL-TIME),48,2s
NIFTY,20177.634589806352,20187.48210526459,20121.503882485795,20123.297316872915,7319,2026-01-15 10:51:11 IST,19,TradingView (REAL-TIME),49,2s
BANKNIFTY,23635.084172775427,23677.57785796961,23634.265003526907,23672.715114855095,5433,2026-01-15 10:51:11 IST,173,TradingView (REAL-TIME),50,2s
NIFTY,20123.297316872915,20125.330330592973,20110.86965183304,20111.23170452472,9220,2026-01-15 10:51:13 IST,487,TradingView (REAL-TIME),51,2s
BANKNIFTY,23672.715114855095,23677.01694883163,23620.94778457279,23626.845190636683,2435,2026-01-15 10:51:13 IST,292,TradingView (REAL-TIME),52,2s
NIFTY,20111.23170452472,20112.59454196685,20084.068455482477,20093.119553352968,2768,2026-01-15 10:51:15 IST,103,TradingView (REAL-TIME),53,2s
BANKNIFTY,23626.845190636683,23642.22641808039,23621.918914174843,23639.078140016314,2674,2026-01-15 10:51:15 IST,20,TradingView (REAL-TIME),54,2s
NIFTY,20093.119553352968,20143.864859288242,20084.93301021007,20139.466822739858,3579,2026-01-15 10:51:17 IST,312,TradingView (REAL-TIME),55,2s
BANKNIFTY,23639.078140016314,23642.536149689553,23615.4507166964,23624.231477376234,5793,2026-01-15 10:51:17 IST,73,TradingView (REAL-TIME),56,2s
NIFTY,20139.466822739858,20146.540920288513,20084.393932438135,20089.237711650363,7294,2026-01-15 10:51:19 IST,332,TradingView (REAL-TIME),57,2s
BANKNIFTY,23624.231477376234,23687.190180922422,23615.01724402028,23681.50981436609,3046,2026-01-15 10:51:19 IST,122,TradingView (REAL-TIME),58,2s
NIFTY,20089.237711650363,20102.964689560355,20086.33618426998,20093.204612760197,5931,2026-01-15 10:51:21 IST,235,TradingView (REAL-TIME),59,2s
BANKNIFTY,23681.50981436609,23692.04434125762,23675.23686711814,23682.835558371185,4557,2026-01-15 10:51:21 IST,282,TradingView (REAL-TIME),60,2s
NIFTY,20093.204612760197,20140.60939095296,20083.99794755435,20134.32700500036,8126,2026-01-15 10:51:23 IST,38,TradingView (REAL-TIME),61,2s
BANKNIFTY,23682.835558371185,23706.494662936944,23673.91387189434,23704.337523778417,3019,2026-01-15 10:51:24 IST,354,TradingView (REAL-TIME),62,2s
NIFTY,20134.32700500036,20135.01593211152,20111.565689825533,20121.40098158096,8856,2026-01-15 10:51:26 IST,70,TradingView (REAL-TIME),63,2s
BANKNIFTY,23704.337523778417,23706.94881944327,23666.233173409524,23674.20191441344,9417,2026-01-15 10:51:26 IST,237,TradingView (REAL-TIME),64,2s
NIFTY,20121.40098158096,20130.99296890256,20073.499269004235,20076.00977752973,3629,2026-01-15 10:51:28 IST,90,TradingView (REAL-TIME),65,2s
BANKNIFTY,23674.20191441344,23682.471597092903,23652.112795447636,23653.629952106297,6213,2026-01-15 10:51:28 IST,261,TradingView (REAL-TIME),66,2s
NIFTY,20076.00977752973,20112.649222033397,20070.922153249285,20106.75844609239,5418,2026-01-15 10:51:30 IST,38,TradingView (REAL-TIME),67,2s
BANKNIFTY,23653.629952106297,23722.54474992259,23653.30632839509,23722.541982990206,8864,2026-01-15 10:51:30 IST,116,TradingView (REAL-TIME),68,2s
NIFTY,20106.75844609239,20172.671496261548,20101.980966640418,20167.013145099427,2933,2026-01-15 10:51:32 IST,349,TradingView (REAL-TIME),69,2s
BANKNIFTY,23722.541982990206,23723.753218928774,23674.248316103945,23680.14586130039,3015,2026-01-15 10:51:32 IST,498,TradingView (REAL-TIME),70,2s
NIFTY,22274.86254843568,22336.84672344375,22273.807472396868,22328.55528058793,9427,2026-01-15 10:51:33 IST,461,TradingView (REAL-TIME),1,2s
BANKNIFTY,24104.796940217173,24112.17534530859,24099.528761349735,24107.920332234957,3709,2026-01-15 10:51:33 IST,174,TradingView (REAL-TIME),2,2s
NIFTY,22328.55528058793,22392.34288869821,22322.2038393315,22383.377711655725,8786,2026-01-15 10:51:35 IST,146,TradingView (REAL-TIME),3,2s
BANKNIFTY,24107.920332234957,24159.715389548375,24103.844731054614,24159.158915904693,4690,2026-01-15 10:51:35 IST,478,TradingView (REAL-TIME),4,2s
NIFTY,22383.377711655725,22442.9027422392,22381.673757871176,22435.71718676841,8205,2026-01-15 10:51:38 IST,490,TradingView (REAL-TIME),5,2s
BANKNIFTY,24159.158915904693,24161.923972479482,24104.201140301357,24110.677983773487,1996,2026-01-15 10:51:38 IST,421,TradingView (REAL-TIME),6,2s
NIFTY,22435.71718676841,22443.199657456338,22390.750812786915,22399.927707175448,8232,2026-01-15 10:51:40 IST,271,TradingView (REAL-TIME),7,2s
BANKNIFTY,24110.677983773487,24116.354481212595,24081.41893248255,24084.22673255609,1234,2026-01-15 10:51:40 IST,187,TradingView (REAL-TIME),8,2s
NIFTY,22399.927707175448,22448.0402120714,22397.855264123966,22442.01311032747,3094,2026-01-15 10:51:42 IST,284,TradingView (REAL-TIME),9,2s
BANKNIFTY,24084.22673255609,24089.714883504435,24065.471322844736,24066.772930822135,1498,2026-01-15 10:51:42 IST,489,TradingView (REAL-TIME),10,2s
NIFTY,22442.01311032747,22451.92012717544,22428.728079401153,22436.86702747633,7099,2026-01-15 10:51:44 IST,493,TradingView (REAL-TIME),11,2s
BANKNIFTY,24066.772930822135,24131.12560411732,24063.930071164807,24124.320792791983,9686,2026-01-15 10:51:44 IST,301,TradingView (REAL-TIME),12,2s
NIFTY,22436.86702747633,22437.911601981337,22423.74590343053,22424.930813164818,2408,2026-01-15 10:51:46 IST,499,TradingView (REAL-TIME),13,2s
BANKNIFTY,24124.320792791983,24157.918801844517,24121.53472658925,24149.946741180425,2956,2026-01-15 10:51:46 IST,466,TradingView (REAL-TIME),14,2s
NIFTY,22424.930813164818,22488.723743581155,22420.039908189145,22479.73986733562,6983,2026-01-15 10:51:48 IST,154,TradingView (REAL-TIME),15,2s
BANKNIFTY,24149.946741180425,24151.755441297042,24145.626689149834,24147.007773707708,7747,2026-01-15 10:51:48 IST,215,TradingView (REAL-TIME),16,2s
NIFTY,22479.73986733562,22544.71656483106,22474.844589326814,22541.5065536064,6816,2026-01-15 10:51:50 IST,228,TradingView (REAL-TIME),17,2s
BANKNIFTY,24147.007773707708,24178.346361692726,24140.229025731114,24175.91838898128,1277,2026-01-15 10:51:50 IST,420,TradingView (REAL-TIME),18,2s
NIFTY,22541.5065536064,22541.648161340476,22500.462217155087,22508.434817462476,8276,2026-01-15 10:51:52 IST,478,TradingView (REAL-TIME),19,2s
BANKNIFTY,24175.91838898128,24247.383623871137,24174.832845958877,24237.976185426345,6469,2026-01-15 10:51:52 IST,191,TradingView (REAL-TIME),20,2s
NIFTY,22508.434817462476,22510.124702156132,22439.84240812753,22449.659322766813,3140,2026-01-15 10:51:54 IST,102,TradingView (REAL-TIME),21,2s
BANKNIFTY,24237.976185426345,24254.58192281696,24230.177515935928,24246.157730151914,1054,2026-01-15 10:51:54 IST,475,TradingView (REAL-TIME),22,2s
NIFTY,22449.659322766813,22513.359458198247,22441.74720226677,22512.75150861574,5824,2026-01-15 10:51:56 IST,249,TradingView (REAL-TIME),23,2s
BANKNIFTY,24246.157730151914,24318.87274009963,24240.805040237963,24310.242674782403,4254,2026-01-15 10:51:56 IST,459,TradingView (REAL-TIME),24,2s
NIFTY,22512.75150861574,22522.22715484891,22506.14534763626,22516.824592093784,4919,2026-01-15 10:51:58 IST,43,TradingView (REAL-TIME),25,2s
BANKNIFTY,24310.242674782403,24328.492221907163,24302.87648808446,24324.253667502562,5865,2026-01-15 10:51:58 IST,396,TradingView (REAL-TIME),26,2s
NIFTY,22516.824592093784,22567.638440523693,22510.00772447787,22560.947879321015,5326,2026-01-15 10:52:00 IST,368,TradingView (REAL-TIME),27,2s
BANKNIFTY,24324.253667502562,24328.12945706225,24295.470346662478,24303.286819218065,2111,2026-01-15 10:52:00 IST,412,TradingView (REAL-TIME),28,2s
NIFTY,22560.947879321015,22588.407210021192,22550.997663818624,22585.364554788266,3162,2026-01-15 10:52:02 IST,459,TradingView (REAL-TIME),29,2s
BANKNIFTY,24303.286819218065,24319.902653872115,24299.75053583907,24315.38907416348,2949,2026-01-15 10:52:02 IST,289,TradingView (REAL-TIME),30,2s
NIFTY,22585.364554788266,22590.922385673563,22573.964021343803,22574.845660330186,4837,2026-01-15 10:52:04 IST,150,TradingView (REAL-TIME),31,2s
BANKNIFTY,24315.38907416348,24348.419855962497,24307.027137326495,24347.0734633238,6707,2026-01-15 10:52:04 IST,191,TradingView (REAL-TIME),32,2s
NIFTY,22574.845660330186,22582.008529966475,22516.71149745565,22523.41318731087,1988,2026-01-15 10:52:07 IST,118,TradingView (REAL-TIME),33,2s
BANKNIFTY,24347.0734633238,24363.933652385254,24339.72403161376,24360.791282922593,8786,2026-01-15 10:52:07 IST,74,TradingView (REAL-TIME),34,2s
NIFTY,22523.41318731087,22528.717679928173,22501.797529632233,22510.937118138092,5766,2026-01-15 10:52:09 IST,109,TradingView (REAL-TIME),35,2s
BANKNIFTY,24360.791282922593,24371.916694747113,24355.702841553353,24366.36992550825,6413,2026-01-15 10:52:09 IST,395,TradingView (REAL-TIME),36,2s
NIFTY,22510.937118138092,22518.619092958932,22508.670722532435,22518.14268072309,9936,2026-01-15 10:52:11 IST,385,TradingView (REAL-TIME),37,2s
BANKNIFTY,24366.36992550825,24373.156447835365,24329.152228881274,24335.69008377465,7280,2026-01-15 10:52:11 IST,232,TradingView (REAL-TIME),38,2s
NIFTY,22518.14268072309,22560.465493753738,22515.634977796028,22555.871573961645,9439,2026-01-15 10:52:13 IST,350,TradingView (REAL-TIME),39,2s
BANKNIFTY,24335.69008377465,24344.114801380983,24257.599152863368,24266.84942067398,2460,2026-01-15 10:52:13 IST,298,TradingView (REAL-TIME),40,2s
NIFTY,22555.871573961645,22571.624194128843,22555.065464665757,22563.577483414276,4535,2026-01-15 10:52:15 IST,468,TradingView (REAL-TIME),41,2s
BANKNIFTY,24266.84942067398,24269.34497543833,24199.481407702053,24201.68732885122,4308,2026-01-15 10:52:15 IST,221,TradingView (REAL-TIME),42,2s
NIFTY,22563.577483414276,22586.533722232998,22558.73195014542,22579.221336187504,2485,2026-01-15 10:52:17 IST,130,TradingView (REAL-TIME),43,2s
BANKNIFTY,24201.68732885122,24225.365597601318,24201.11645278726,24221.174382117933,1802,2026-01-15 10:52:17 IST,17,TradingView (REAL-TIME),44,2s
NIFTY,22579.221336187504,22640.408196381173,22570.713279691976,22631.805328867285,5402,2026-01-15 10:52:19 IST,108,TradingView (REAL-TIME),45,2s
BANKNIFTY,24221.174382117933,24259.5377990628,24219.840135708375,24251.393448678064,7163,2026-01-15 10:52:19 IST,132,TradingView (REAL-TIME),46,2s
NIFTY,22631.805328867285,22665.601107037503,22626.689504496557,22662.697750121188,6877,2026-01-15 10:52:21 IST,183,TradingView (REAL-TIME),47,2s
BANKNIFTY,24251.393448678064,24307.63699132501,24243.295524437468,24300.54295065401,6415,2026-01-15 10:52:21 IST,248,TradingView (REAL-TIME),48,2s
NIFTY,22662.697750121188,22675.209786159587,22656.19394590507,22670.663517823552,9413,2026-01-15 10:52:23 IST,390,TradingView (REAL-TIME),49,2s
BANKNIFTY,24300.54295065401,24309.45874580936,24262.734725189228,24264.276382426342,6982,2026-01-15 10:52:23 IST,313,TradingView (REAL-TIME),50,2s
NIFTY,22670.663517823552,22684.15198193077,22661.3183827012,22677.24129168228,6994,2026-01-15 10:52:25 IST,102,TradingView (REAL-TIME),51,2s
BANKNIFTY,24264.276382426342,24277.33620929633,24263.795131634306,24267.883768169268,6810,2026-01-15 10:52:25 IST,290,TradingView (REAL-TIME),52,2s
NIFTY,22677.24129168228,22677.955804977133,22628.559605969793,22628.915021252866,2500,2026-01-15 10:52:27 IST,56,TradingView (REAL-TIME),53,2s
BANKNIFTY,24267.883768169268,24271.836109007636,24237.417577802582,24240.32066198126,9680,2026-01-15 10:52:27 IST,139,TradingView (REAL-TIME),54,2s
NIFTY,22628.915021252866,22631.080012558676,22595.975132002004,22596.2218347203,9336,2026-01-15 10:52:29 IST,479,TradingView (REAL-TIME),55,2s
BANKNIFTY,24240.32066198126,24244.1308124769,24216.854949829194,24220.380803176155,8525,2026-01-15 10:52:29 IST,216,TradingView (REAL-TIME),56,2s
NIFTY,22596.2218347203,22602.91173418536,22531.52701142208,22534.144237190598,8114,2026-01-15 10:52:31 IST,61,TradingView (REAL-TIME),57,2s
BANKNIFTY,24220.380803176155,24223.81727622289,24160.055040048515,24161.796188454246,1018,2026-01-15 10:52:31 IST,451,TradingView (REAL-TIME),58,2s
NIFTY,22534.144237190598,22545.528847491623,22529.354650149144,22540.242418160873,9864,2026-01-15 10:52:34 IST,209,TradingView (REAL-TIME),59,2s
BANKNIFTY,24161.796188454246,24170.26984318161,24109.0536691557,24118.376761077478,1656,2026-01-15 10:52:34 IST,365,TradingView (REAL-TIME),60,2s
NIFTY,22540.242418160873,22567.72776282478,22538.388735067925,22563.443374403272,9362,2026-01-15 10:52:36 IST,363,TradingView (REAL-TIME),61,2s
BANKNIFTY,24118.376761077478,24126.35859798121,24062.578215925958,24070.22556352114,7609,2026-01-15 10:52:36 IST,41,TradingView (REAL-TIME),62,2s
NIFTY,22563.443374403272,22573.371395179707,22540.76647860843,22543.900626237988,4778,2026-01-15 10:52:38 IST,65,TradingView (REAL-TIME),63,2s
BANKNIFTY,24070.22556352114,24071.241162234746,24007.631302244445,24011.75842360585,6916,2026-01-15 10:52:38 IST,395,TradingView (REAL-TIME),64,2s
NIFTY,22543.900626237988,22545.53817509721,22515.562339011198,22525.28180529587,7551,2026-01-15 10:52:40 IST,320,TradingView (REAL-TIME),65,2s
BANKNIFTY,24011.75842360585,24012.629832512408,23951.314456075197,23958.61027535426,4349,2026-01-15 10:52:40 IST,404,TradingView (REAL-TIME),66,2s
NIFTY,22525.28180529587,22567.508862240116,22519.08090503654,22557.64089703108,2435,2026-01-15 10:52:42 IST,196,TradingView (REAL-TIME),67,2s
BANKNIFTY,23958.61027535426,23960.447740270338,23938.15428130019,23946.180174042907,9155,2026-01-15 10:52:42 IST,330,TradingView (REAL-TIME),68,2s
NIFTY,22557.64089703108,22565.920020161393,22528.078749222557,22537.35229653954,3700,2026-01-15 10:52:44 IST,145,TradingView (REAL-TIME),69,2s
BANKNIFTY,23946.180174042907,23948.544503308014,23941.210874064764,23942.097012892755,3374,2026-01-15 10:52:44 IST,232,TradingView (REAL-TIME),70,2s
NIFTY,22537.35229653954,22537.79953894253,22496.197091192742,22499.566021787654,9878,2026-01-15 10:52:46 IST,245,TradingView (REAL-TIME),71,2s
BANKNIFTY,23942.097012892755,23993.31576351341,23934.687698679587,23988.067291107636,4802,2026-01-15 10:52:46 IST,482,TradingView (REAL-TIME),72,2s
NIFTY,22499.566021787654,22555.733542812683,22490.66059808674,22547.16436203641,7225,2026-01-15 10:52:48 IST,195,TradingView (REAL-TIME),73,2s
BANKNIFTY,23988.067291107636,24050.09054688474,23981.970659087805,24048.67879249753,1387,2026-01-15 10:52:48 IST,487,TradingView (REAL-TIME),74,2s
NIFTY,22547.16436203641,22586.584289588507,22544.511361684374,22577.537427778352,6085,2026-01-15 10:52:50 IST,114,TradingView (REAL-TIME),75,2s
BANKNIFTY,24048.67879249753,24049.024499431613,23968.800049479272,23977.096467302497,7704,2026-01-15 10:52:50 IST,437,TradingView (REAL-TIME),76,2s
NIFTY,22577.537427778352,22581.716077927227,22568.85276159483,22575.3875810102,9168,2026-01-15 10:52:52 IST,39,TradingView (REAL-TIME),77,2s
BANKNIFTY,23977.096467302497,23977.56668480736,23909.40468821095,23915.141249668148,3971,2026-01-15 10:52:52 IST,36,TradingView (REAL-TIME),78,2s
NIFTY,22575.3875810102,22580.754731933805,22552.768011879598,22561.654346678042,8765,2026-01-15 10:52:54 IST,410,TradingView (REAL-TIME),79,2s
BANKNIFTY,23915.141249668148,23932.615066072245,23910.089195199496,23927.036579598684,2670,2026-01-15 10:52:54 IST,344,TradingView (REAL-TIME),80,2s
NIFTY,22561.654346678042,22591.59774134235,22559.090790815164,22586.297651860263,8356,2026-01-15 10:52:56 IST,375,TradingView (REAL-TIME),81,2s
BANKNIFTY,23927.036579598684,23967.812400443505,23920.027524493715,23962.395330929492,6121,2026-01-15 10:52:56 IST,427,TradingView (REAL-TIME),82,2s
NIFTY,22586.297651860263,22654.455146438395,22579.814177049433,22645.21564587652,4992,2026-01-15 10:52:59 IST,442,TradingView (REAL-TIME),83,2s
BANKNIFTY,23962.395330929492,23967.235965732587,23940.824259966008,23945.447128854747,4272,2026-01-15 10:52:59 IST,416,TradingView (REAL-TIME),84,2s
NIFTY,22645.21564587652,22657.86538450627,22639.504851270947,22650.303649014928,1813,2026-01-15 10:53:01 IST,104,TradingView (REAL-TIME),85,2s
BANKNIFTY,23945.447128854747,24010.252345291246,23936.254756619634,24003.59009177701,9079,2026-01-15 10:53:01 IST,201,TradingView (REAL-TIME),86,2s
NIFTY,22650.303649014928,22652.554613673517,22616.76557995091,22622.712642277944,9977,2026-01-15 10:53:03 IST,259,TradingView (REAL-TIME),87,2s
BANKNIFTY,24003.59009177701,24009.133992315914,23943.550421323256,23950.704124211723,3366,2026-01-15 10:53:03 IST,260,TradingView (REAL-TIME),88,2s
NIFTY,22622.712642277944,22622.727189785142,22606.016751732728,22611.78171185526,6292,2026-01-15 10:53:05 IST,10,TradingView (REAL-TIME),89,2s
BANKNIFTY,23950.704124211723,23967.71753322652,23942.124260369343,23964.519729310734,1758,2026-01-15 10:53:05 IST,263,TradingView (REAL-TIME),90,2s
NIFTY,22611.78171185526,22619.284622233215,22585.68145045395,22588.00196132684,9702,2026-01-15 10:53:07 IST,55,TradingView (REAL-TIME),91,2s
BANKNIFTY,23964.519729310734,23966.37239871434,23946.821749025097,23955.04736320129,5136,2026-01-15 10:53:07 IST,94,TradingView (REAL-TIME),92,2s
NIFTY,22588.00196132684,22614.40364641647,22582.15178325684,22606.239488665076,8622,2026-01-15 10:53:09 IST,222,TradingView (REAL-TIME),93,2s
BANKNIFTY,23955.04736320129,24034.13747874284,23947.30849131935,24026.314640321787,8511,2026-01-15 10:53:09 IST,91,TradingView (REAL-TIME),94,2s
NIFTY,22606.239488665076,22611.567284926823,22532.691041044327,22542.543575639917,2540,2026-01-15 10:53:11 IST,382,TradingView (REAL-TIME),95,2s
BANKNIFTY,24026.314640321787,24031.35778681399,24013.944621420935,24018.879066248726,1482,2026-01-15 10:53:11 IST,84,TradingView (REAL-TIME),96,2s
NIFTY,22542.543575639917,22548.98540886088,22498.078770579337,22498.717908461185,1341,2026-01-15 10:53:13 IST,347,TradingView (REAL-TIME),97,2s
BANKNIFTY,24018.879066248726,24026.489929684947,23986.214350574508,23988.6609435339,7392,2026-01-15 10:53:13 IST,348,TradingView (REAL-TIME),98,2s
NIFTY,22498.717908461185,22506.04773451742,22490.19493931147,22504.971983241063,2938,2026-01-15 10:53:15 IST,330,TradingView (REAL-TIME),99,2s
BANKNIFTY,23988.6609435339,23992.219272441165,23922.474630120243,23928.614410607468,2605,2026-01-15 10:53:15 IST,103,TradingView (REAL-TIME),100,2s
NIFTY,22504.971983241063,22506.948798458616,22441.09407427273,22443.31699481991,9331,2026-01-15 10:53:17 IST,59,TradingView (REAL-TIME),101,2s
BANKNIFTY,23928.614410607468,23936.199769744544,23863.762792833586,23873.578054476457,9115,2026-01-15 10:53:17 IST,119,TradingView (REAL-TIME),102,2s
NIFTY,22443.31699481991,22472.890853418066,22434.422552448694,22467.256689217753,1075,2026-01-15 10:53:19 IST,242,TradingView (REAL-TIME),103,2s
BANKNIFTY,23873.578054476457,23930.983925139,23867.22323667336,23923.72263140371,2373,2026-01-15 10:53:19 IST,64,TradingView (REAL-TIME),104,2s
NIFTY,22467.256689217753,22496.628640309205,22462.89138122145,22487.987180978835,1648,2026-01-15 10:53:21 IST,425,TradingView (REAL-TIME),105,2s
BANKNIFTY,23923.72263140371,23945.734548420445,23922.256684690554,23940.19583084978,5298,2026-01-15 10:53:21 IST,62,TradingView (REAL-TIME),106,2s
NIFTY,22487.987180978835,22489.811723731946,22444.821368758054,22451.570316903657,5091,2026-01-15 10:53:23 IST,485,TradingView (REAL-TIME),107,2s
